source,target,embedding_score
cubría,",",0.1926
cubría,es,0.2776
cubría,finster,0.6934
cubría,auf,0.6934
cubría,der,0.082
cubría,tiefe,0.6934
cubría,;,0.6934
cubría,geist,0.6934
cubría,gottes,0.6934
cubría,schwebte,0.6934
cubría,dem,0.6934
cubría,wasser,0.6934
cubría,.,-0.002934
las,und,-0.1403
las,die,-0.01278
las,erde,-0.07184
las,war,-0.1515
las,wüst,0.005844
las,leer,0.005844
las,",",-0.1515
las,es,-0.1425
las,finster,0.005844
las,auf,0.005844
las,der,-0.09955
las,tiefe,0.005844
las,;,0.005844
las,geist,0.005844
las,gottes,0.005844
las,schwebte,0.005844
las,dem,0.005844
las,wasser,0.005844
las,.,-0.1403
aguas,und,-0.1403
aguas,die,-0.01278
aguas,erde,-0.07184
aguas,war,-0.1515
aguas,wüst,0.005844
aguas,leer,0.005844
aguas,",",-0.1515
aguas,es,-0.1425
aguas,finster,0.005844
aguas,auf,0.005844
aguas,der,-0.09955
aguas,tiefe,0.005844
aguas,;,0.005844
aguas,geist,0.005844
aguas,gottes,0.005844
aguas,schwebte,0.005844
aguas,dem,0.005844
aguas,wasser,0.005844
aguas,.,-0.1403
profundas,und,-0.002934
profundas,die,0.2251
profundas,erde,0.2042
profundas,war,0.1926
profundas,wüst,0.6934
profundas,leer,0.6934
profundas,",",0.1926
profundas,es,0.2776
profundas,finster,0.6934
profundas,auf,0.6934
profundas,der,0.082
profundas,tiefe,0.6934
profundas,;,0.6934
profundas,geist,0.6934
profundas,gottes,0.6934
profundas,schwebte,0.6934
profundas,dem,0.6934
profundas,wasser,0.6934
profundas,.,-0.002934
;,und,0.03455
;,die,-0.11914
;,erde,-0.08984
;,war,-0.02571
;,wüst,0.1195
;,leer,0.1195
;,",",-0.02571
;,es,0.3623
;,finster,0.1195
;,auf,0.1195
;,der,-0.1584
;,tiefe,0.1195
;,;,0.1195
;,geist,0.1195
;,gottes,0.1195
;,schwebte,0.1195
;,dem,0.1195
;,wasser,0.1195
;,.,0.03455
el,die,0.3782
el,war,-0.1969
el,wüst,0.0336
el,leer,0.0336
el,",",-0.1969
el,es,-0.1863
el,finster,0.0336
el,auf,0.0336
el,der,0.1669
el,tiefe,0.0336
el,;,0.0336
el,geist,0.0336
el,gottes,0.0336
el,schwebte,0.0336
el,dem,0.0336
el,wasser,0.0336
espíritu,und,-0.002934
espíritu,die,0.2251
espíritu,erde,0.2042
espíritu,war,0.1926
espíritu,wüst,0.6934
espíritu,leer,0.6934
espíritu,",",0.1926
espíritu,es,0.2776
espíritu,finster,0.6934
espíritu,auf,0.6934
espíritu,der,0.082
espíritu,tiefe,0.6934
espíritu,;,0.6934
espíritu,geist,0.6934
espíritu,gottes,0.6934
espíritu,schwebte,0.6934
espíritu,dem,0.6934
espíritu,wasser,0.6934
espíritu,.,-0.002934
de,und,-0.00883
de,die,-0.1414
de,erde,-0.2064
de,war,0.1759
de,wüst,-0.11035
de,leer,-0.11035
de,",",0.1759
de,es,-0.2468
de,finster,-0.11035
de,auf,-0.11035
de,der,0.1256
de,tiefe,-0.11035
de,;,-0.11035
de,geist,-0.11035
de,gottes,-0.11035
de,schwebte,-0.11035
de,dem,-0.11035
de,wasser,-0.11035
de,.,-0.00883
dios,die,0.0874
dios,war,-0.05728
dios,wüst,-0.1827
dios,leer,-0.1827
dios,",",-0.05728
dios,es,-0.11365
dios,finster,-0.1827
dios,auf,-0.1827
dios,der,0.1788
dios,tiefe,-0.1827
dios,;,-0.1827
dios,geist,-0.1827
dios,gottes,-0.1827
dios,schwebte,-0.1827
dios,dem,-0.1827
dios,wasser,-0.1827
se,und,0.201
se,die,0.6934
se,erde,0.1371
se,war,-0.0368
se,wüst,0.2251
se,leer,0.2251
se,",",-0.0368
se,es,-0.01575
se,finster,0.2251
se,auf,0.2251
se,der,0.322
se,tiefe,0.2251
se,;,0.2251
se,geist,0.2251
se,gottes,0.2251
se,schwebte,0.2251
se,dem,0.2251
se,wasser,0.2251
se,.,0.201
movía,und,-0.002934
movía,die,0.2251
movía,erde,0.2042
movía,war,0.1926
movía,wüst,0.6934
movía,leer,0.6934
movía,",",0.1926
movía,es,0.2776
movía,finster,0.6934
movía,auf,0.6934
movía,der,0.082
movía,tiefe,0.6934
movía,;,0.6934
movía,geist,0.6934
movía,gottes,0.6934
movía,schwebte,0.6934
movía,dem,0.6934
movía,wasser,0.6934
movía,.,-0.002934
en,die,0.1371
en,war,-0.06665
en,wüst,0.2042
en,leer,0.2042
en,",",-0.06665
en,es,-0.01575
en,finster,0.2042
en,auf,0.2042
en,der,-0.01973
en,tiefe,0.2042
en,;,0.2042
en,geist,0.2042
en,gottes,0.2042
en,schwebte,0.2042
en,dem,0.2042
en,wasser,0.2042
aire,und,-0.002934
aire,die,0.2251
aire,erde,0.2042
aire,war,0.1926
aire,wüst,0.6934
aire,leer,0.6934
aire,",",0.1926
aire,es,0.2776
aire,finster,0.6934
aire,auf,0.6934
aire,der,0.082
aire,tiefe,0.6934
aire,;,0.6934
aire,geist,0.6934
aire,gottes,0.6934
aire,schwebte,0.6934
aire,dem,0.6934
aire,wasser,0.6934
aire,.,-0.002934
sobre,und,-0.002934
sobre,die,0.2251
sobre,erde,0.2042
sobre,war,0.1926
sobre,wüst,0.6934
sobre,leer,0.6934
sobre,",",0.1926
sobre,es,0.2776
sobre,finster,0.6934
sobre,auf,0.6934
sobre,der,0.082
sobre,tiefe,0.6934
sobre,;,0.6934
sobre,geist,0.6934
sobre,gottes,0.6934
sobre,schwebte,0.6934
sobre,dem,0.6934
sobre,wasser,0.6934
sobre,.,-0.002934
superficie,und,-0.002934
superficie,die,0.2251
superficie,erde,0.2042
superficie,war,0.1926
superficie,wüst,0.6934
superficie,leer,0.6934
superficie,",",0.1926
superficie,es,0.2776
superficie,finster,0.6934
superficie,auf,0.6934
superficie,der,0.082
superficie,tiefe,0.6934
superficie,;,0.6934
superficie,geist,0.6934
superficie,gottes,0.6934
superficie,schwebte,0.6934
superficie,dem,0.6934
superficie,wasser,0.6934
superficie,.,-0.002934
.,die,0.1788
.,war,-0.03174
.,wüst,-0.1049
.,leer,-0.1049
.,",",-0.03174
.,es,-0.0429
.,finster,-0.1049
.,auf,-0.1049
.,der,0.234
.,tiefe,-0.1049
.,;,-0.1049
.,geist,-0.1049
.,gottes,-0.1049
.,schwebte,-0.1049
.,dem,-0.1049
.,wasser,-0.1049
entonces,und,-0.204
entonces,gott,-0.01973
entonces,sprach,0.2274
entonces,:,0.2274
entonces,es,-0.01973
entonces,werde,0.2274
entonces,licht,-0.07294
entonces,!,0.2274
entonces,ward,-0.048
entonces,.,-0.204
dios,sprach,-0.2394
dios,:,-0.2394
dios,werde,-0.2394
dios,licht,0.1918
dios,!,-0.2394
dios,ward,0.11035
dijo,und,-0.204
dijo,gott,-0.01973
dijo,sprach,0.2274
dijo,:,0.2274
dijo,es,-0.01973
dijo,werde,0.2274
dijo,licht,-0.07294
dijo,!,0.2274
dijo,ward,-0.048
dijo,.,-0.204
:,und,-0.204
:,gott,-0.01973
:,sprach,0.2274
:,:,0.2274
:,es,-0.01973
:,werde,0.2274
:,licht,-0.07294
:,!,0.2274
:,ward,-0.048
:,.,-0.204
«,und,0.0775
«,gott,-0.07605
«,sprach,0.0131
«,:,0.0131
«,es,-0.1437
«,werde,0.0131
«,licht,0.1926
«,!,0.0131
«,ward,0.327
«,.,0.0775
que,und,-0.11035
que,gott,0.095
que,sprach,-0.06247
que,:,-0.06247
que,es,-0.2915
que,werde,-0.06247
que,licht,0.1234
que,!,-0.06247
que,ward,-0.1538
que,.,-0.11035
haya,und,-0.204
haya,gott,-0.01973
haya,sprach,0.2274
haya,:,0.2274
haya,es,-0.01973
haya,werde,0.2274
haya,licht,-0.07294
haya,!,0.2274
haya,ward,-0.048
haya,.,-0.204
luz,und,0.2761
luz,gott,0.1962
luz,sprach,-0.00883
luz,:,-0.00883
luz,es,-0.1403
luz,werde,-0.00883
luz,licht,0.6934
luz,!,-0.00883
luz,ward,0.2786
luz,.,0.2761
»,und,0.0775
»,gott,-0.07605
»,sprach,0.0131
»,:,0.0131
»,es,-0.1437
»,werde,0.0131
»,licht,0.1926
»,!,0.0131
»,ward,0.327
»,.,0.0775
;,gott,-0.11584
;,sprach,0.1549
;,:,0.1549
;,werde,0.1549
;,licht,-0.1257
;,!,0.1549
;,ward,-0.06555
y,sprach,-0.2089
y,:,-0.2089
y,werde,-0.2089
y,licht,0.218
y,!,-0.2089
y,ward,0.1743
hubo,und,-0.1368
hubo,gott,0.0131
hubo,sprach,0.6934
hubo,:,0.6934
hubo,es,0.2487
hubo,werde,0.6934
hubo,licht,-0.00883
hubo,!,0.6934
hubo,ward,0.135
hubo,.,-0.1368
.,sprach,-0.2089
.,:,-0.2089
.,werde,-0.2089
.,licht,0.218
.,!,-0.2089
