vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
1TH 5:1,0.10736,3904.0,0.2238,400.5,0.3003,0.2444,1341.0,0.7108029617403067,0.22076382959139007
1TH 5:2,0.03552,1121.0,0.1588,232.8,0.3809,0.1494,408.5,0.8074992131747888,0.17803107627639975
1TH 5:3,0.04868,1367.0,0.1753,170.9,0.3794,0.1422,626.5,0.8674167522401541,0.16642529836305162
1TH 5:4,0.06726,2384.0,0.2546,298.2,0.506,0.263,935.5,0.6987952517219375,0.2663206201926243
1TH 5:5,0.0962,2146.0,0.2046,285.5,0.4287,0.1948,732.5,0.7858224969513903,0.2192286121002575
1TH 5:6,0.05905,3056.0,0.2184,266.0,0.5283,0.1947,1055.0,0.7997596292433106,0.23161122543064974
1TH 5:7,0.1582,3800.0,0.4807,452.8,0.7783,0.373,1470.0,0.7082307371477873,0.40425337486983043
1TH 5:8,0.05695,374.2,0.2625,108.6,0.558,0.1691,249.5,0.7667603536691442,0.2459908428591467
1TH 5:9,0.0717,1165.0,0.1952,267.0,0.4492,0.2032,607.5,0.7285723289709407,0.22943785158935773
1TH 5:10,0.0954,2548.0,0.2272,346.8,0.357,0.1674,895.5,0.7765901242299932,0.20577497275386356
1TH 5:11,0.06537,3762.0,0.1467,345.0,0.4685,0.2126,1310.0,0.6656670168568062,0.23460563749320762
1TH 5:12,0.05554,3800.0,0.2346,396.8,0.2742,0.2314,1270.0,0.6733541870676185,0.21202291494212258
1TH 5:13,0.05316,4296.0,0.1652,385.0,0.3484,0.2708,1459.0,0.76952318550576,0.2054826627675382
1TH 5:14,0.03032,2194.0,0.2024,238.9,0.3481,0.2783,762.5,0.6684242556410843,0.2226405663064516
1TH 5:15,0.06396,2396.0,0.1937,228.2,0.4302,0.1613,867.5,0.760538949431977,0.20963940127694777
1TH 5:16,0.603,4.5,0.2522,4.0,0.9375,0.0465,4.0,0.8820856221421247,0.3860827943771091
1TH 5:17,0.8794,48.5,0.07904,1.5,0.5103,0.04544,0.5,0.9053449996708697,0.31485915094984573
1TH 5:18,0.04968,1034.0,0.2128,402.0,0.544,0.2358,570.5,0.7198661766941639,0.25584540737233036
1TH 5:19,0.308,2482.0,0.28,299.0,0.5103,0.3179,1331.0,0.6999532998149294,0.318076008727628
1TH 5:20,0.3958,52.34,0.04126,7.332,0.573,0.02734,43.34,1.0669911472774027,0.19288283734954512
1TH 5:21,0.0897,3194.0,0.1467,224.0,0.5425,0.1792,1182.0,0.8003408936108808,0.22246866508948562
1TH 5:22,0.4211,104.8,0.2742,73.0,0.78,0.0584,77.2,0.9303825230898859,0.31519992148809156
1TH 5:23,0.0434,1659.0,0.2842,293.8,0.4534,0.2032,680.5,0.6641282006520242,0.25123602255251937
1TH 5:24,0.03778,3630.0,0.1917,578.0,0.3997,0.2664,1404.0,0.5996711558736693,0.2431584908331062
1TH 5:25,0.176,904.0,0.4036,390.5,0.6177,0.2498,321.8,0.7096109856113283,0.3321449662050031
1TH 5:26,0.1675,2724.0,0.3223,187.8,0.395,0.271,946.5,0.6439673140615181,0.2872315061396794
1TH 5:27,0.1103,2962.0,0.3013,415.0,0.5728,0.266,1056.0,0.7122841102149955,0.29420846252797983
1TH 5:28,0.117,3136.0,0.201,475.5,0.3818,0.2869,1185.0,0.6302069936071302,0.25681675249719826
2TH 1:1,0.06076,2248.0,0.3145,443.2,0.585,0.3599,965.5,0.5922935780510077,0.32838824473384565
2TH 1:2,0.06082,1028.0,0.2761,483.0,0.5547,0.269,592.5,0.6171810479997621,0.2951477560529201
2TH 1:3,0.02678,1523.0,0.1738,268.2,0.3142,0.2036,635.0,0.6876820079433518,0.19510912678064807
2TH 1:4,0.04608,2628.0,0.1643,420.2,0.3591,0.2223,928.0,0.6277382487278002,0.21972304267596426
2TH 1:5,0.02135,3102.0,0.1785,352.8,0.353,0.1897,1056.0,0.6940761087314211,0.19954847219599853
2TH 1:7,0.04556,2900.0,0.2155,484.5,0.466,0.2491,1024.0,0.6669100613451544,0.24720793229163085
2TH 1:8,0.0401,3036.0,0.1799,279.5,0.3096,0.1897,1127.0,0.8129406142056461,0.17316101806382314
2TH 1:9,0.08984,3286.0,0.2236,414.8,0.4639,0.1873,1129.0,0.7284393078116606,0.2354655906990078
2TH 1:10,0.0616,2748.0,0.1559,460.2,0.3916,0.2185,987.5,0.7454921503596764,0.2078202111660807
2TH 1:11,0.03796,1428.0,0.2023,292.5,0.4836,0.1486,605.0,0.8163152288408159,0.2030537317549962
2TH 1:12,0.077,2832.0,0.2363,514.0,0.4404,0.2402,1097.0,0.7054552560216736,0.24633301254996143
2TH 2:1,0.1655,2500.0,0.1837,432.8,0.375,0.2399,1061.0,0.7138476792271402,0.23949597074178333
2TH 2:2,0.05426,1324.0,0.173,184.0,0.369,0.1503,510.2,0.8208083066470476,0.1781319064344546
2TH 2:3,0.0545,2046.0,0.11505,256.2,0.3381,0.1663,713.5,0.8205647786858417,0.1640777315438487
2TH 2:4,0.09576,1815.0,0.1288,299.2,0.3843,0.1993,759.0,0.8273722939589038,0.18865189407740798
2TH 2:5,0.04712,1249.0,0.1473,292.0,0.4512,0.1785,644.0,0.7684613487768889,0.20428790772341704
2TH 2:7,0.1353,120.56,0.1996,15.46,0.3523,0.02748,58.94,0.8762374952474118,0.16411701539655718
2TH 2:8,0.08844,2870.0,0.1443,402.8,0.412,0.1792,1023.5,0.8241487509654097,0.1923749676864763
2TH 2:9,0.05045,2038.0,0.2117,138.4,0.4739,0.1495,784.5,0.859882651714402,0.19575278580315378
2TH 2:10,0.05972,2844.0,0.1432,259.0,0.354,0.1926,1080.0,0.7380422341968332,0.1942313385921166
2TH 2:11,0.09546,2830.0,0.1602,377.5,0.455,0.1986,1107.0,0.8678309851245096,0.1989729616716461
2TH 2:12,0.1285,2140.0,0.1696,160.8,0.5054,0.1779,781.0,0.7616225827142787,0.23371652223056735
2TH 2:13,0.03577,1873.0,0.189,262.0,0.3896,0.2059,713.5,0.6987562920723691,0.21283164239691904
2TH 2:14,0.04337,3052.0,0.216,413.2,0.4116,0.2313,1091.0,0.7120486879267099,0.22388871560817672
2TH 2:15,0.05005,2352.0,0.157,225.6,0.4167,0.1589,833.5,0.8227874809730708,0.1860513992023262
2TH 2:16,0.01813,2142.0,0.216,368.5,0.4705,0.2152,858.0,0.6415669260974569,0.24347841242065626
2TH 3:1,0.06335,2007.0,0.286,414.0,0.5415,0.2238,791.5,0.7031181833861476,0.26982614434776336
2TH 3:2,0.0774,1882.0,0.1549,273.5,0.4753,0.1733,815.5,0.7818545926224773,0.21056140482738914
2TH 3:3,0.0939,2812.0,0.11096,367.0,0.4067,0.211,1084.0,0.766981713645943,0.20182083766272163
2TH 3:4,0.07605,1198.0,0.2263,274.5,0.4434,0.136,506.2,0.8395858988794078,0.20143660840984967
2TH 3:5,0.0702,3174.0,0.1658,455.8,0.3696,0.254,1244.0,0.6424512790504099,0.23019543896934044
2TH 3:6,0.03256,2230.0,0.1443,283.0,0.325,0.1986,816.5,0.7447724628992229,0.1819445131281352
2TH 3:7,0.05667,951.0,0.1959,269.0,0.4048,0.2343,486.2,0.7252695322778684,0.22254444189397038
2TH 3:8,0.10815,1427.0,0.2186,192.6,0.482,0.1643,517.5,0.7857077999969911,0.22732473134903505
2TH 3:9,0.0395,2022.0,0.0944,239.4,0.3481,0.1519,724.0,0.8326152884621187,0.1517551559072326
2TH 3:10,0.0997,1535.0,0.1322,260.0,0.4617,0.1451,614.0,0.8596956149154419,0.18975798767270832
2TH 3:11,0.06058,569.5,0.192,203.2,0.492,0.2018,216.1,0.75637366057521,0.2260682728976209
2TH 3:12,0.0802,2226.0,0.1533,244.9,0.416,0.176,856.5,0.8218311710363435,0.1946458642925279
2TH 3:13,0.1489,783.5,0.3623,303.2,0.6353,0.1683,264.2,0.7775188457344623,0.2943045822984194
2TH 3:14,0.0857,1709.0,0.1322,197.8,0.3848,0.1871,652.5,0.8403287959602944,0.18507036733199803
2TH 3:15,0.0952,1922.0,0.393,249.5,0.494,0.1831,666.0,0.6545057333022076,0.2893471296409855
2TH 3:16,0.0751,3402.0,0.1754,519.5,0.2593,0.252,1268.0,0.7530893702995405,0.19169827069586118
2TH 3:17,0.05023,2352.0,0.2056,184.5,0.3794,0.1838,829.0,0.7871540678789899,0.19741827707173343
