full_chapter_id	number	book_reference
ESG 2	2	ESG
ESG 3	3	ESG
ESG 4	4	ESG
ESG 5	5	ESG
ESG 6	6	ESG
ESG 7	7	ESG
ESG 8	8	ESG
ESG 9	9	ESG
ESG 10	10	ESG
WIS 1	1	WIS
WIS 2	2	WIS
WIS 3	3	WIS
WIS 4	4	WIS
WIS 5	5	WIS
WIS 6	6	WIS
WIS 7	7	WIS
WIS 8	8	WIS
WIS 9	9	WIS
WIS 10	10	WIS
WIS 11	11	WIS
WIS 12	12	WIS
WIS 13	13	WIS
WIS 14	14	WIS
WIS 15	15	WIS
WIS 16	16	WIS
WIS 17	17	WIS
WIS 18	18	WIS
WIS 19	19	WIS
SIR 1	1	SIR
SIR 2	2	SIR
SIR 3	3	SIR
SIR 4	4	SIR
SIR 5	5	SIR
SIR 6	6	SIR
SIR 7	7	SIR
SIR 8	8	SIR
SIR 9	9	SIR
SIR 10	10	SIR
SIR 11	11	SIR
SIR 12	12	SIR
SIR 13	13	SIR
SIR 14	14	SIR
SIR 15	15	SIR
SIR 16	16	SIR
SIR 17	17	SIR
SIR 18	18	SIR
SIR 19	19	SIR
SIR 20	20	SIR
SIR 21	21	SIR
SIR 22	22	SIR
SIR 23	23	SIR
SIR 24	24	SIR
SIR 25	25	SIR
SIR 26	26	SIR
SIR 27	27	SIR
SIR 28	28	SIR
SIR 29	29	SIR
SIR 30	30	SIR
SIR 31	31	SIR
SIR 32	32	SIR
SIR 33	33	SIR
SIR 34	34	SIR
SIR 35	35	SIR
SIR 36	36	SIR
SIR 37	37	SIR
SIR 38	38	SIR
SIR 39	39	SIR
SIR 40	40	SIR
SIR 41	41	SIR
SIR 42	42	SIR
SIR 43	43	SIR
SIR 44	44	SIR
SIR 45	45	SIR
SIR 46	46	SIR
SIR 47	47	SIR
SIR 48	48	SIR
SIR 49	49	SIR
SIR 50	50	SIR
SIR 51	51	SIR
BAR 1	1	BAR
BAR 2	2	BAR
BAR 3	3	BAR
BAR 4	4	BAR
BAR 5	5	BAR
LJE 1	1	LJE
S3Y 1	1	S3Y
SUS 1	1	SUS
BEL 1	1	BEL
1MA 1	1	1MA
1MA 2	2	1MA
1MA 3	3	1MA
1MA 4	4	1MA
1MA 5	5	1MA
1MA 6	6	1MA
1MA 7	7	1MA
1MA 8	8	1MA
1MA 9	9	1MA
1MA 10	10	1MA
1MA 11	11	1MA
1MA 12	12	1MA
1MA 13	13	1MA
1MA 14	14	1MA
1MA 15	15	1MA
1MA 16	16	1MA
2MA 1	1	2MA
2MA 2	2	2MA
2MA 3	3	2MA
2MA 4	4	2MA
2MA 5	5	2MA
2MA 6	6	2MA
2MA 7	7	2MA
2MA 8	8	2MA
2MA 9	9	2MA
2MA 10	10	2MA
2MA 11	11	2MA
2MA 12	12	2MA
2MA 13	13	2MA
2MA 14	14	2MA
2MA 15	15	2MA
3MA 1	1	3MA
3MA 2	2	3MA
3MA 3	3	3MA
3MA 4	4	3MA
3MA 5	5	3MA
3MA 6	6	3MA
3MA 7	7	3MA
4MA 1	1	4MA
4MA 2	2	4MA
4MA 3	3	4MA
4MA 4	4	4MA
4MA 5	5	4MA
4MA 6	6	4MA
4MA 7	7	4MA
4MA 8	8	4MA
4MA 9	9	4MA
4MA 10	10	4MA
4MA 11	11	4MA
4MA 12	12	4MA
4MA 13	13	4MA
4MA 14	14	4MA
4MA 15	15	4MA
4MA 16	16	4MA
4MA 17	17	4MA
4MA 18	18	4MA
1ES 1	1	1ES
1ES 2	2	1ES
1ES 3	3	1ES
1ES 4	4	1ES
1ES 5	5	1ES
1ES 6	6	1ES
1ES 7	7	1ES
1ES 8	8	1ES
1ES 9	9	1ES
2ES 1	1	2ES
2ES 2	2	2ES
2ES 3	3	2ES
2ES 4	4	2ES
2ES 5	5	2ES
2ES 6	6	2ES
2ES 7	7	2ES
2ES 8	8	2ES
2ES 9	9	2ES
2ES 10	10	2ES
2ES 11	11	2ES
2ES 12	12	2ES
2ES 13	13	2ES
2ES 14	14	2ES
2ES 15	15	2ES
2ES 16	16	2ES
MAN 1	1	MAN
PS2 1	1	PS2
ODA 1	1	ODA
ODA 2	2	ODA
ODA 3	3	ODA
ODA 4	4	ODA
ODA 5	5	ODA
ODA 6	6	ODA
ODA 7	7	ODA
ODA 8	8	ODA
ODA 9	9	ODA
ODA 10	10	ODA
ODA 11	11	ODA
ODA 12	12	ODA
ODA 13	13	ODA
ODA 14	14	ODA
PSS 1	1	PSS
PSS 2	2	PSS
PSS 3	3	PSS
PSS 4	4	PSS
PSS 5	5	PSS
PSS 6	6	PSS
PSS 7	7	PSS
PSS 8	8	PSS
PSS 9	9	PSS
PSS 10	10	PSS
PSS 11	11	PSS
PSS 12	12	PSS
PSS 13	13	PSS
PSS 14	14	PSS
PSS 15	15	PSS
PSS 16	16	PSS
PSS 17	17	PSS
PSS 18	18	PSS
EZA 1	1	EZA
EZA 2	2	EZA
EZA 3	3	EZA
EZA 4	4	EZA
EZA 5	5	EZA
EZA 6	6	EZA
EZA 7	7	EZA
EZA 8	8	EZA
EZA 9	9	EZA
EZA 10	10	EZA
EZA 11	11	EZA
EZA 12	12	EZA
JUB 1	1	JUB
JUB 2	2	JUB
JUB 3	3	JUB
JUB 4	4	JUB
JUB 5	5	JUB
JUB 6	6	JUB
JUB 7	7	JUB
JUB 8	8	JUB
JUB 9	9	JUB
JUB 10	10	JUB
JUB 11	11	JUB
JUB 12	12	JUB
JUB 13	13	JUB
JUB 14	14	JUB
JUB 15	15	JUB
JUB 16	16	JUB
JUB 17	17	JUB
JUB 18	18	JUB
JUB 19	19	JUB
JUB 20	20	JUB
JUB 21	21	JUB
JUB 22	22	JUB
JUB 23	23	JUB
JUB 24	24	JUB
JUB 25	25	JUB
JUB 26	26	JUB
JUB 27	27	JUB
JUB 28	28	JUB
JUB 29	29	JUB
JUB 30	30	JUB
JUB 31	31	JUB
JUB 32	32	JUB
JUB 33	33	JUB
JUB 34	34	JUB
ENO 1	1	ENO
ENO 2	2	ENO
ENO 3	3	ENO
ENO 4	4	ENO
ENO 5	5	ENO
ENO 6	6	ENO
ENO 7	7	ENO
ENO 8	8	ENO
ENO 9	9	ENO
ENO 10	10	ENO
ENO 11	11	ENO
ENO 12	12	ENO
ENO 13	13	ENO
ENO 14	14	ENO
ENO 15	15	ENO
ENO 16	16	ENO
ENO 17	17	ENO
ENO 18	18	ENO
ENO 19	19	ENO
ENO 20	20	ENO
ENO 21	21	ENO
ENO 22	22	ENO
ENO 23	23	ENO
ENO 24	24	ENO
ENO 25	25	ENO
ENO 26	26	ENO
ENO 27	27	ENO
ENO 28	28	ENO
ENO 29	29	ENO
ENO 30	30	ENO
ENO 31	31	ENO
ENO 32	32	ENO
ENO 33	33	ENO
ENO 34	34	ENO
ENO 35	35	ENO
ENO 36	36	ENO
ENO 37	37	ENO
ENO 38	38	ENO
ENO 39	39	ENO
ENO 40	40	ENO
ENO 41	41	ENO
ENO 42	42	ENO
