,vref,en-NASB,fr-LBS21,swh-ONEN,arb-AVD,en-NLT07,es-NTV,ko-RNKSV,mean,min,second_min
0,MAT 1:1,0.6158428280280674,0.5157056725174153,0.5938863205407877,0.4815830993220363,0.3797939011872596,0.4571899326862692,0.4445182131207938,0.49835999534323283,0.3797939011872596,0.4445182131207938
1,MAT 1:2,0.5568490012770528,0.5714877012795545,0.5457252986601835,0.4607167189177105,0.465562876470483,0.5058348150649724,0.4195847982894921,0.5036801728513499,0.4195847982894921,0.4607167189177105
2,MAT 1:3,0.5286939193386531,0.5672161471361754,0.530055779245159,0.4406571572427579,0.4728330554017546,0.4611032715934399,0.4841889666608611,0.49782118523125735,0.4406571572427579,0.4611032715934399
3,MAT 1:4,0.5708258722617178,0.6236777763337727,0.5874293113500954,0.5328058318164205,0.529331075404296,0.5255109072740621,0.5480088427002411,0.5596556595915151,0.5255109072740621,0.529331075404296
4,MAT 1:5,0.4839911796341809,0.5308960720210816,0.5173722875233601,0.456029954844147,0.3985891823394435,0.421995419325785,0.5153256320479827,0.47488567539085436,0.3985891823394435,0.421995419325785
5,MAT 1:6,0.5399825112256225,0.4988818008940326,0.5332056892986328,0.470855339650059,0.4843270460427512,0.4955629087285156,0.4932546090449091,0.502295700697789,0.470855339650059,0.4843270460427512
6,MAT 1:7,0.5987481199906262,0.6168052794205607,0.5991729400637499,0.5438220572342802,0.5532813912198536,0.5212254373972006,0.6131910300441864,0.5780351793386369,0.5212254373972006,0.5438220572342802
7,MAT 1:8,0.603471599807186,0.6350205574470792,0.5826973056113056,0.544401175849721,0.5594840256088085,0.5372125325726899,0.6393563367183361,0.5859490762307323,0.5372125325726899,0.544401175849721
8,MAT 1:9,0.6034721026349172,0.644606672222346,0.6243434695550668,0.544401219444035,0.5594704669219266,0.577932226546215,0.6393566214041816,0.5990832541040984,0.544401219444035,0.5594704669219266
9,MAT 1:10,0.5471478537197616,0.6008893257016172,0.6091298390245145,0.5441580232703591,0.5384878633844631,0.5466943752352595,0.5813606513367836,0.5668382759532512,0.5384878633844631,0.5441580232703591
10,MAT 1:11,0.5329270263760428,0.5206199478756881,0.4672053337857622,0.4061799094024959,0.5038260912121082,0.4836540788507404,0.38553336683076,0.4714208220476568,0.38553336683076,0.4061799094024959
11,MAT 1:12,0.590133756350585,0.6116267315126067,0.5971146550977213,0.4824776104433975,0.5137092490551501,0.5254850132366219,0.482358693528263,0.5432722441749065,0.482358693528263,0.4824776104433975
12,MAT 1:13,0.5979868067851222,0.6410419903892739,0.6379775908013725,0.544108717960116,0.5057695526705893,0.5652794936367889,0.5851210057942752,0.5824693082910768,0.5057695526705893,0.544108717960116
13,MAT 1:14,0.6034716168199141,0.6446081711059816,0.6177061940573162,0.5444000109227309,0.5093767002906591,0.556414616705996,0.6393554235026622,0.5879046762007514,0.5093767002906591,0.5444000109227309
14,MAT 1:15,0.6029215941362951,0.6413163279850733,0.6185994468504702,0.5299940764784082,0.498868688389799,0.5679039565685662,0.6245948224740848,0.5834569875546709,0.498868688389799,0.5299940764784082
15,MAT 1:16,0.4949208389354431,0.4442107396776171,0.4636824116511134,0.3597118109338432,0.382542317359474,0.4094858984771747,0.3647259371885532,0.4170399934604599,0.3597118109338432,0.3647259371885532
16,MAT 1:17,0.5510741191657861,0.5847266544194413,0.509746597244612,0.3788876589411198,0.4345853014175092,0.510437417439082,0.4016052439915735,0.48158042751701774,0.3788876589411198,0.4016052439915735
17,MAT 1:18,0.452430375587956,0.3679719627971041,0.4272485791155993,0.3220833969437213,0.3712438341783878,0.3711854905509451,0.2966603324275347,0.37268913880017834,0.2966603324275347,0.3220833969437213
18,MAT 1:19,0.4281662285346872,0.4094101028418441,0.3793504588848188,0.3908033525214232,0.3607845118088585,0.3775558531716299,0.3584723619547755,0.38636326710257674,0.3584723619547755,0.3607845118088585
19,MAT 1:20,0.5053541447214255,0.3922691849478341,0.4471123655445476,0.3301128186371191,0.4146355782322287,0.3854126310442072,0.3421204436880005,0.4024310238307661,0.3301128186371191,0.3421204436880005
20,MAT 1:21,0.5136609701462359,0.4829119719307312,0.4364405874500628,0.3842131280063705,0.4066954142424125,0.3770521404630161,0.3333327212572136,0.4191867047851489,0.3333327212572136,0.3770521404630161
21,MAT 1:22,0.4804238103354616,0.4079552942699945,0.4416545545742089,0.3739898435309386,0.3784009999036397,0.3689347572476804,0.3156832476935374,0.39529178679363725,0.3156832476935374,0.3689347572476804
22,MAT 1:23,0.489591068740828,0.3871285115959885,0.4109035399512407,0.3628798467340446,0.4014381330230767,0.3643968053980124,0.3674069907731938,0.39767784231662634,0.3628798467340446,0.3643968053980124
23,MAT 1:24,0.4713540444025063,0.3635543137232571,0.477153733289037,0.4193149737101245,0.3833280907440328,0.3568412376913135,0.330587494423495,0.400304841140538,0.330587494423495,0.3568412376913135
24,MAT 1:25,0.469611358094413,0.4172843350887029,0.366017642135411,0.3589078115559472,0.3849097388236926,0.3898698170929178,0.3321132734709358,0.3883877108945743,0.3321132734709358,0.3589078115559472
25,MAT 2:1,0.5221121664651157,0.4552778293799026,0.4624218364802508,0.4133811390944469,0.4221418525114794,0.3915781566214825,0.3374383316623785,0.4291930446021509,0.3374383316623785,0.3915781566214825
26,MAT 2:2,0.4890944010187127,0.4519274902055244,0.406104027988709,0.3610285684499504,0.3794825504344953,0.3600020568956794,0.3343185479375081,0.39742252041865417,0.3343185479375081,0.3600020568956794
27,MAT 2:3,0.5631664170189498,0.5172872915657416,0.4806340022715831,0.4099743292593914,0.3779143156611037,0.4023929188877526,0.3925872255646689,0.44913664288988436,0.3779143156611037,0.3925872255646689
28,MAT 2:4,0.5068739432644518,0.4845583749852276,0.3892284555520965,0.3612759711212637,0.3651343326433692,0.3556939578958063,0.3279950899632852,0.3986800179179286,0.3279950899632852,0.3556939578958063
29,MAT 2:5,0.5071540836536409,0.4682452207528279,0.4466446120852194,0.3808616552455324,0.3900645545062866,0.399703687735313,0.3279988482095455,0.417238951741195,0.3279988482095455,0.3808616552455324
30,MAT 2:6,0.4660594646177288,0.426155046249326,0.4014089813197253,0.3437278367644835,0.3891626961677593,0.3744451087673072,0.324028062244876,0.38928388516160084,0.324028062244876,0.3437278367644835
31,MAT 2:7,0.5445996296775751,0.4756128645895869,0.4456772946733087,0.4465250487212489,0.420505355998229,0.3843996565103231,0.3902795598515838,0.44394277286026507,0.3843996565103231,0.3902795598515838
32,MAT 2:8,0.4190072187568514,0.3848585919621893,0.3597309221160377,0.364094424320912,0.3387933569641883,0.3344677284216385,0.2904435535885156,0.35591368516147615,0.2904435535885156,0.3344677284216385
33,MAT 2:9,0.4348992232060975,0.3513552014194913,0.3476342760013803,0.3388662353045454,0.3043343881736744,0.3313407225638664,0.2989736295377237,0.3439148108866828,0.2989736295377237,0.3043343881736744
34,MAT 2:10,0.4908434430154547,0.4001505510185595,0.4391036835055664,0.4168332196040734,0.365566744943804,0.4001641958669668,0.3897184180912345,0.41462575086366554,0.365566744943804,0.3897184180912345
35,MAT 2:11,0.5182552715663048,0.3978420078172074,0.3725320207807958,0.4175064104685466,0.4531352377442177,0.4223008032378493,0.3793191652402318,0.4229844166935934,0.3725320207807958,0.3793191652402318
36,MAT 2:12,0.4285344756626894,0.4411464453148693,0.3876893584616324,0.3830879450913359,0.2997130364094106,0.3265525658014919,0.4005237302741649,0.381035365287942,0.2997130364094106,0.3265525658014919
