vref,en-NASB,en-NIV84,fr-LBS21,swh-ONEN,arb-AVD,en-NLT07,en-GNBUK,es-NTV,es-NVI99,ko-RNKSV,cho-CHTW,en-KJV,en-NIV11,hop-hopNT,malay_edited,malay_baseline,mean,min,second_min
MAT 1:1,0.6158428280280674,0.6607288805260054,0.5157056725174153,0.5938863205407877,0.4815830993220363,0.4081369400830982,0.4742164854329999,0.4571899326862692,0.5801092844615096,0.4445182131207938,,0.6471933937383189,0.5509155025072567,0.4190654049465775,,,0.5268532275316258,0.4081369400830982,0.4190654049465775
MAT 1:2,0.5568490012770528,0.5680737808065941,0.5714877012795545,0.5457252986601835,0.4607167189177105,0.4840110666201939,0.518945706828333,0.5058348150649724,0.5292276090955573,0.4195847982894921,,0.6026504923282899,0.5592458663102126,0.4727056928590326,,,0.5226968114105522,0.4195847982894921,0.4607167189177105
MAT 1:3,0.5286939193386531,0.5076273250011872,0.5672161471361754,0.530055779245159,0.4406571572427579,0.4748654163601401,,0.4611032715934399,0.5419372530108016,0.4841889666608611,,0.5650305558855423,0.5078564983668229,0.4922125276076415,,,0.5084537347874318,0.4406571572427579,0.4611032715934399
MAT 1:4,0.5708258722617178,0.5644214793758227,0.6236777763337727,0.5874293113500954,0.5328058318164205,0.5554738642659454,,0.5255109072740621,0.5379876620801161,0.5480088427002411,,0.5891202172581927,0.5646597045441989,0.4782795473330399,,,0.5565167513828021,0.4782795473330399,0.5255109072740621
MAT 1:5,0.4839911796341809,0.500774878056462,0.5308960720210816,0.5173722875233601,0.456029954844147,0.4416852221471212,,0.421995419325785,0.4742166954127551,0.5153256320479827,,0.4992352431031484,0.5036931696547611,0.4508337646011583,,,0.4830041265309953,0.421995419325785,0.4416852221471212
MAT 1:6,0.5399825112256225,0.5388258961461203,0.4988818008940326,0.5332056892986328,0.470855339650059,0.4797206183798333,0.4056146545186499,0.4955629087285156,0.5298012595714794,0.4932546090449091,,0.5738775299820771,0.5388898233390285,0.4090868279109265,,,0.5005814975915297,0.4056146545186499,0.4090868279109265
MAT 1:7,0.5987481199906262,0.5839638981550176,0.6168052794205607,0.5991729400637499,0.5438220572342802,0.5514402125722582,,0.5212254373972006,0.5476520361266332,0.6131910300441864,,0.5841025165690716,0.5842271947972575,0.535937529369065,,,0.5733573543116589,0.5212254373972006,0.535937529369065
MAT 1:8,0.603471599807186,0.5887552071949793,0.6350205574470792,0.5826973056113056,0.544401175849721,0.5735530166037941,,0.5372125325726899,0.5622249163779285,0.6393563367183361,,0.6062650517364069,0.5888309894401146,0.4521213606154607,,,0.5761591708312501,0.4521213606154607,0.5372125325726899
MAT 1:9,0.6034721026349172,0.6033039519007871,0.644606672222346,0.6243434695550668,0.544401219444035,0.5735390657109368,,0.577932226546215,0.5768337716475475,0.6393566214041816,,0.6062598074078559,0.6033830062455448,0.4595243763368714,,,0.5880796909213588,0.4595243763368714,0.544401219444035
MAT 1:10,0.5471478537197616,0.5631698421753928,0.6008893257016172,0.6091298390245145,0.5441580232703591,0.5557369457277178,,0.5466943752352595,0.5627293261328932,0.5813606513367836,,0.5740637665511422,0.5632967018481423,0.4359255097500817,,,0.5570251800394721,0.4359255097500817,0.5441580232703591
MAT 1:11,0.5329270263760428,0.5268071592331203,0.5206199478756881,0.4672053337857622,0.4061799094024959,0.486153107535881,,0.4836540788507404,0.5182951972751567,0.38553336683076,,0.520428080519415,0.5138862262367421,0.3900759258773743,,,0.4793137799832649,0.38553336683076,0.3900759258773743
MAT 1:12,0.590133756350585,0.5769702102499374,0.6116267315126067,0.5971146550977213,0.4824776104433975,0.4741247495823409,0.5304198951565977,0.5254850132366219,0.5864822307946214,0.482358693528263,,0.5694674718479846,0.5710686284592813,0.5175355090743323,,,0.5473280888718686,0.4741247495823409,0.482358693528263
MAT 1:13,0.5979868067851222,0.5993606826397853,0.6410419903892739,0.6379775908013725,0.544108717960116,0.5654895716449323,,0.5652794936367889,0.5781312046832616,0.5851210057942752,,0.6057871308048147,0.5995465107098304,0.4907993124620483,,,0.5842191681926351,0.4907993124620483,0.544108717960116
MAT 1:14,0.6034716168199141,0.5841754418235404,0.6446081711059816,0.6177061940573162,0.5444000109227309,0.5735390657109368,,0.556414616705996,0.557733439397536,0.6393554235026622,,0.6062629981275993,0.584254772209819,0.457991247555345,,,0.5808260831616148,0.457991247555345,0.5444000109227309
MAT 1:15,0.6029215941362951,0.6042487337540106,0.6413163279850733,0.6185994468504702,0.5299940764784082,0.5604565022843858,,0.5679039565685662,0.5571616076453739,0.6245948224740848,,0.6063130583124039,0.6043316669598305,0.5411483887680762,,,0.5882491818514148,0.5299940764784082,0.5411483887680762
MAT 1:16,0.4949208389354431,0.5125451399793979,0.4442107396776171,0.4636824116511134,0.3597118109338432,0.3920929987887016,,0.4094858984771747,0.4820781729624677,0.3647259371885532,,0.5410623489664986,0.4413813472486059,0.3573408991640189,,,0.4386032119977863,0.3573408991640189,0.3597118109338432
MAT 1:17,0.5510741191657861,0.5473805158147563,0.5847266544194413,0.509746597244612,0.3788876589411198,0.4242137210497762,0.4679267333863128,0.510437417439082,0.557188037738992,0.4016052439915735,,0.5703448601396013,0.5196936676516171,0.5024281505238346,,,0.5019733367312695,0.3788876589411198,0.4016052439915735
MAT 1:18,0.452430375587956,0.4459034132136469,0.3679719627971041,0.4272485791155993,0.3220833969437213,0.3553008121706332,0.3925221335060399,0.3711854905509451,0.4399084386310278,0.2966603324275347,,0.4612660583400048,0.4496216669326593,0.3331830911742951,,,0.3934835193377821,0.2966603324275347,0.3220833969437213
MAT 1:19,0.4281662285346872,0.4401942741878947,0.4094101028418441,0.3793504588848188,0.3908033525214232,0.3182930515564368,0.3770945585041935,0.3775558531716299,0.4366838938581033,0.3584723619547755,,0.4542447536786365,0.4191710923427101,0.3188970456519118,,,0.3929490021299281,0.3182930515564368,0.3188970456519118
MAT 1:20,0.5053541447214255,0.4711677997373159,0.3922691849478341,0.4471123655445476,0.3301128186371191,0.4058924271419198,0.4282544713935956,0.3854126310442072,0.4311351750994713,0.3421204436880005,,0.4877192910139087,0.4671530300228264,0.330745986216396,,,0.41726536686219756,0.3301128186371191,0.330745986216396
