,vref,verse_score
0,GEN 1:1,0.7297867766812745
8,GEN 1:2,0.3008168157456927
37,GEN 1:3,0.6161210613185989
49,GEN 1:4,0.607813186821116
67,GEN 1:5,0.4653693328642907
