vref,alignment_score,translation_score,avg_aligned,jac_sim,match_counts,encoding_dist,simple_total,total_score
MAT 1:1,0.1886940121927829,0.45469842699794416,0.8183596118802988,0.3380104259081887,133.0,0.3414881,0.44994061924480366,0.45718993268626923
MAT 1:2,0.22656820563849922,0.57889816318091,0.7346982589570767,0.48494477729723673,1259.8,0.31920052,0.5062773512684307,0.5058348150649724
MAT 1:3,0.14271137399925216,0.49908833138373243,0.5801698306879577,0.5441176407973539,1140.6363636363637,0.2618426,0.4415217942170741,0.46110327159343995
MAT 1:4,0.21757528723541866,0.6401161674399235,0.7872880539946772,0.45155344136734193,662.4285714285714,0.27138034,0.5241332375093403,0.5255109072740621
MAT 1:5,0.15523130124094459,0.43560567177335024,0.6209127058742839,0.36559223793793416,853.3,0.27345893,0.39433547920662826,0.421995419325785
MAT 1:6,0.13679864041196693,0.587931984832814,0.7424758652398692,0.5014446732218589,957.6666666666666,0.3086918,0.49216279092662724,0.49556290872851566
MAT 1:7,0.21757528723541866,0.6133429057935353,0.8230023397089629,0.46345820327210385,663.2857142857143,0.33584827,0.5293446840025051,0.5212254373972006
MAT 1:8,0.21757528723541866,0.6209022616645044,0.8230023397089629,0.5348867747006752,662.0,0.33395943,0.5490916658273903,0.5372125325726899
MAT 1:9,0.21757528723541866,0.6209002308861661,0.8230023397089629,0.677743917557818,662.2857142857143,0.23499851,0.5848054438470914,0.577932226546215
MAT 1:10,0.21757528723541866,0.6315176141070414,0.8230023397089629,0.5110772508911515,662.2857142857143,0.23527832,0.5457931229856436,0.5466943752352595
MAT 1:11,0.09879655480284187,0.548822559546737,0.7532538430511355,0.538992933093375,921.5454545454545,0.35082796,0.4849664726235223,0.4836540788507404
MAT 1:12,0.17614115330454172,0.5904685035231818,0.7188675096393277,0.6104674914338585,516.7777777777778,0.2643356,0.5239861644752275,0.5254850132366219
MAT 1:13,0.21757528723541866,0.641103173619147,0.7872880539946772,0.6301248699387705,662.5714285714286,0.23526493,0.5690228461970034,0.5652794936367889
MAT 1:14,0.21757528723541866,0.6208970226964731,0.8230023397089629,0.5706010604149611,662.2857142857143,0.2358811,0.5580189275139539,0.556414616705996
MAT 1:15,0.21757528723541866,0.6123781080846509,0.8076962172599832,0.6522337134761855,665.2857142857143,0.2365998,0.5724708315140595,0.5679039565685662
MAT 1:16,0.10505654884885474,0.48480854260466755,0.7035541068614983,0.3457289058874505,637.5,0.46807283,0.4097870260506178,0.40948589847717476
MAT 1:17,0.11715012210791584,0.614499585215721,0.8284783624041177,0.49292717835342104,719.7692307692307,0.3106026,0.5132638120202938,0.510437417439082
MAT 1:18,0.05331603795656694,0.39403430164914305,0.6020340378919367,0.32499201743058187,549.7272727272727,0.35254425,0.34359409873205715,0.3711854905509451
MAT 1:19,0.11630224062998526,0.34314326584743393,0.6864221530079944,0.2752157824889652,1164.0714285714287,0.374654,0.3552708604935947,0.37755585317162993
MAT 1:20,0.05286268646435109,0.42671295824918226,0.6483297620328369,0.34311446650818284,548.5714285714286,0.3799347,0.36775496831363824,0.3854126310442072
MAT 1:21,0.179978086026847,0.40207562625130794,0.6388404417681623,0.23884467728492467,746.6428571428571,0.448968,0.36493470783281046,0.37705214046301616
MAT 1:22,0.18721988997294464,0.39397210062707144,0.7398310803771866,0.21119820654716712,573.3076923076923,0.5829969,0.3830553193810925,0.3689347572476804
MAT 1:23,0.0850276007574748,0.3880890517221069,0.677593384004951,0.27483380450964545,877.6315789473684,0.4759227,0.3563859602485445,0.36439680539801245
MAT 1:24,0.07410270316872766,0.35827979059245363,0.5442293577366336,0.32537235354968996,806.2,0.35192958,0.3254960512618762,0.35684123769131354
MAT 1:25,0.15729500140538563,0.3446562458117601,0.6846800491450508,0.33903365705089433,1345.5833333333333,0.44585517,0.38141623835327265,0.3898698170929178
MAT 2:1,0.05741375661651493,0.39510947398503377,0.6925025322826357,0.33916013594088856,647.9411764705883,0.35671088,0.3710464747062683,0.39157815662148254
MAT 2:2,0.1687980518653027,0.4048274508119171,0.5900739776072397,0.25643040556197827,955.75,0.4866477,0.35503247146160943,0.3600020568956794
MAT 2:3,0.1281806601877225,0.4793712172071809,0.6330605330869775,0.3521394189381978,1272.909090909091,0.4510041,0.3981879573550197,0.40239291888775264
MAT 2:4,0.07139954780689142,0.37080506724094325,0.5663499869977954,0.28492595110656666,997.5384615384615,0.34766117,0.32337013828804917,0.3556939578958063
MAT 2:5,0.10586236430846613,0.440301993713736,0.6766912535526775,0.3818919243423602,1150.4166666666667,0.48309213,0.40118688397930996,0.399703687735313
MAT 2:6,0.08961008297245796,0.35864595335458266,0.62632713185255,0.29245465864541287,669.9,0.3143654,0.34175945670625085,0.3744451087673072
MAT 2:7,0.09124653268183835,0.2953314748136066,0.7450914423740511,0.20739011967466278,397.8333333333333,0.19466735,0.33476489238603974,0.3843996565103231
MAT 2:8,0.07954415861930274,0.35480206820227833,0.5940911851109034,0.19442475600683357,638.9047619047619,0.39817253,0.30571554198482953,0.3344677284216385
MAT 2:9,0.08954575158300829,0.3245996525573509,0.6641681078770981,0.20115025761524832,747.45,0.5035869,0.3198659424081764,0.3313407225638664
MAT 2:10,0.20560589927399966,0.34482915044409007,0.6652900296885721,0.3009017475621806,820.75,0.33752814,0.37915670674221064,0.40016419586696683
MAT 2:11,0.10141101082078068,0.4808240423683749,0.765223405885191,0.25899058174182604,611.75,0.3062652,0.40161226020404317,0.4223008032378493
MAT 2:12,0.03575755103926492,0.33181576634278515,0.6167649621843101,0.2439833130892369,829.9375,0.4577848,0.30708039816389926,0.3265525658014919
MAT 2:13,0.044710590292299665,0.3769776361071591,0.6425898931973058,0.30694392159171713,630.5333333333333,0.35527724,0.3428055102971204,0.36905892828860887
MAT 2:14,0.09172373620162294,0.41430827548878163,0.6730112310400348,0.37097227013789924,1101.75,0.34164897,0.3875038782170846,0.40809943103664864
MAT 2:15,0.1253576334960994,0.40950303055759446,0.740242430373517,0.3253326535641052,795.25,0.40177408,0.400108936997829,0.409728515522259
MAT 2:16,0.02704164314326396,0.2662675836156725,0.5089523072219435,0.25057053957847375,507.25925925925924,0.32340685,0.2632080183898384,0.309738988638244
MAT 2:17,0.2420961496470555,0.556661709300935,0.8373354628736741,0.3191736128656893,431.125,0.35833743,0.4888167336718385,0.4865338731622077
MAT 2:18,0.10745125657862177,0.3777670311712019,0.7145195717888386,0.2960254321918703,760.9444444444445,0.39913118,0.37394082293263314,0.38861217659791336
MAT 2:19,0.14771827468043083,0.4590133960368152,0.6690112939827186,0.43926714322971117,801.2307692307693,0.30292973,0.42875252698241895,0.44306328656957156
MAT 2:20,0.08616558463878297,0.32592218564198366,0.6064169987255263,0.2668519417832999,741.125,0.3166882,0.3213391776973982,0.3588250022011379
MAT 2:21,0.09007181812497862,0.3396219093384855,0.5814719965738196,0.31886623822361165,943.5,0.3434534,0.3325079905652239,0.3637604867153703
MAT 2:22,0.07564273448793155,0.29888992677503246,0.6108895867016007,0.2642397197206285,502.0,0.34204632,0.3124154919212983,0.3464625332922391
MAT 2:23,0.09057346036604451,0.38934481646518126,0.6969030806196413,0.2254807927247187,837.6875,0.4122215,0.3505755375438965,0.367891898436726
MAT 3:1,0.12136675276004,0.46263838491020076,0.8105803719729444,0.38509924556536995,867.0,0.29756898,0.4449211888021388,0.4591800736182457
MAT 3:2,0.1338550893107401,0.5546565575829197,0.8511989279735689,0.4021508359344163,983.7142857142857,0.35213605,0.48546535270041125,0.48381113163819517
MAT 3:3,0.05460694865324707,0.4605268592694275,0.6841233783223158,0.3663666821845878,731.35,0.43736017,0.3914059671073945,0.3943287203958724
MAT 3:4,0.10515798356780694,0.4774840108406818,0.6946436813234869,0.3592728141850621,882.1578947368421,0.31299472,0.4091396224792594,0.42652350534910655
MAT 3:5,0.09863848282529054,0.3711175864584844,0.6867800709094563,0.4464568852658725,1171.4545454545455,0.28968212,0.4007482563647759,0.4253306248319175
MAT 3:6,0.19383361859889767,0.4294137362288189,0.696412338286991,0.3763915320671154,1420.1,0.29853252,0.42401280629545574,0.4429218587954903
MAT 3:7,0.07299371358123145,0.46309732456263,0.6786064102585408,0.31633447459472647,817.952380952381,0.4067288,0.3827579807492822,0.3946924273591447
MAT 3:8,0.13942941442918244,0.3435506793272101,0.5746071968658378,0.1547079251516124,1020.6666666666666,0.4298074,0.3030738039434607,0.32548116418460254
MAT 3:9,0.04117715071911944,0.32598470205024527,0.5243651698981686,0.24087487019610992,814.8,0.4991303,0.2831004732159108,0.3038837999709915
MAT 3:10,0.06432086587703101,0.37602116175873657,0.6557329338026672,0.2514373760084719,685.9473684210526,0.39654145,0.3368780843617266,0.35874930800521126
MAT 3:11,0.08337646337280064,0.39246177462263504,0.6440965377296078,0.2686645690834943,684.5,0.43320602,0.3471498362021344,0.36174830668701946
MAT 3:12,0.09105143342965388,0.46393070825860566,0.6542764182140948,0.43481100041525567,736.4444444444445,0.26199088,0.4110173900794025,0.4358112273115686
MAT 3:13,0.34298541270168287,0.325188490575006,0.6608235931680829,0.3190569415010663,722.4615384615385,0.441165,0.4120136094864595,0.4139204275493143
MAT 3:14,0.11122611475245349,0.3670660202094725,0.7054839739820931,0.17971421719973604,697.0,0.5310987,0.34087258153593875,0.3451084039519647
MAT 3:15,0.09411892269814676,0.23882566350287457,0.5131351517781969,0.21205138540932225,989.5882352941177,0.46963248,0.2645327808471351,0.29371984602433093
MAT 3:16,0.11618358100978277,0.48615984077198765,0.7407114235737953,0.26591934194650213,570.5,0.46882606,0.40224354682551694,0.4022099875952024
MAT 3:17,0.12769449620848444,0.4297516148606582,0.7186666747909847,0.30343227857692195,928.0666666666667,0.49640936,0.39488626610926236,0.39274436022099113
MAT 4:1,0.24742466653676648,0.44960099231460526,0.8793537895605665,0.34878735846948006,631.6,0.27703616,0.48129170172035457,0.4909848452459148
MAT 4:2,0.18745699532862364,0.4946413302581963,1.035632855178221,0.19789164984134971,591.0,0.1707308,0.4789057076515976,0.5029218891630347
MAT 4:3,0.1219099460733155,0.46631856112286274,0.7106929108394434,0.30036194859239773,1030.4666666666667,0.4546367,0.3998208416570048,0.401544161896961
MAT 4:4,0.10284592281295407,0.3498020113730745,0.6630099992315892,0.2386277298233976,748.7777777777778,0.49342176,0.33857141581025385,0.34726011177731103
MAT 4:5,0.16514434001943204,0.3268501727169762,0.5747289628947655,0.2979481271978997,1036.3076923076924,0.36611181,0.3411679007072684,0.36762570903556113
MAT 4:6,0.07439973445282412,0.3980583359844673,0.7081501690663643,0.23287199700131234,597.8148148148148,0.4204481,0.35337005912624203,0.37020687648147
MAT 4:7,0.13442267695740132,0.466359988562034,0.7775048177867124,0.35875599185575774,933.1818181818181,0.36327595,0.4342608687904763,0.44393178890622775
MAT 4:8,0.10560049284979481,0.4717147565032695,0.7515556187718,0.28372760905791666,713.8,0.2837962,0.40314961929569526,0.42794096619199296
MAT 4:9,0.11620956318816433,0.549189060447413,0.8014088224755844,0.22376880339743419,1075.1818181818182,0.5876822,0.42264406237714897,0.40364382934061693
MAT 4:10,0.07499321601013678,0.4953288783696813,0.8090422610785912,0.33020739170512015,753.75,0.33844835,0.42739293679088236,0.44148147358041595
MAT 4:11,0.20892803930694445,0.37724389158958893,0.5696752689508742,0.30273328563059665,1223.4,0.35021016,0.36464512136950106,0.3896510444978638
MAT 4:12,0.19786849170351883,0.37989742210845107,0.6080552951166838,0.290413008972142,895.2222222222222,0.509281,0.3690585544751989,0.3669466002380727
MAT 4:13,0.11605229004680283,0.39323183527626804,0.7022368508700503,0.31822429879585606,898.8461538461538,0.32424718,0.38243631874724426,0.40549200929083906
MAT 4:14,0.3100836764907759,0.4700243315577058,0.7557382406514519,0.32139189148148345,441.75,0.4004411,0.46430953504535427,0.4608341146104905
MAT 4:15,0.08243585939023335,0.5793888244177766,0.7263670128135132,0.47739658137992547,816.8181818181819,0.16006209,0.46639706950036214,0.49405265240674495
MAT 4:16,0.10818278087839815,0.457551908728322,0.8092229050521673,0.2841332085741518,1054.2857142857142,0.35464302,0.41477270080825984,0.42845975863096236
MAT 4:17,0.10501185067005014,0.5329509882474053,0.8795206174826254,0.3295067424527118,902.9230769230769,0.3952984,0.46174754971319815,0.45955577784445895
MAT 4:18,0.07009040545420502,0.4759692193494497,0.7151775633875983,0.3344081425795142,864.047619047619,0.4612503,0.3989113326926918,0.3995819713138229
MAT 4:19,0.1336823393621925,0.4338881505934996,0.7881657342807715,0.21482467169824612,1077.2,0.5008694,0.39264022398367737,0.3900331422145291
MAT 4:20,0.29736021554356734,0.33568386670521627,0.5953919439896109,0.33615078889647165,1607.2857142857142,0.3507996,0.3911467037837165,0.4097194318352914
MAT 4:21,0.060672888863347804,0.5162661391991236,0.7984573068230411,0.37249530750477583,697.3157894736842,0.32515168,0.43697291059757204,0.44884526131799546
MAT 4:22,0.17698410892258906,0.41931366935659536,0.6307705640302151,0.39516753486859196,1960.4444444444443,0.31656376,0.40555896929449786,0.4258418329030087
MAT 4:23,0.09941919450399915,0.4056617842570306,0.7616617936901731,0.38020465738794407,884.7647058823529,0.24935603,0.4117368574597867,0.439199487714028
MAT 4:24,0.02126615817404398,0.2138080859989327,0.5696588821703742,0.23371810938007834,541.55,0.22482766,0.25961280893085725,0.3191216802220344
MAT 4:25,0.11292648430500875,0.4366836591516479,0.6777043223040473,0.4576768823002695,1114.3846153846155,0.28731662,0.4212478370152433,0.4415963440924795
MAT 5:1,0.0820955228807821,0.43727912676783953,0.7331708904225437,0.2585195528869186,879.1666666666666,0.42968816,0.377766273239521,0.38708295031125756
MAT 5:2,0.42172536533434063,0.24886054046117292,0.45769815799644525,0.2688188511847856,1920.0,0.3738141,0.34927572874418605,0.37382199255588405
MAT 5:3,0.10633965581773118,0.6222344407027478,0.8256681065606837,0.4772217271919818,683.4444444444445,0.28224403,0.5078659825682862,0.511198584350355
MAT 5:4,0.22216654553532486,0.448550921230988,0.6780605442977731,0.3260366252730409,1796.1666666666667,0.32173443,0.4187036590842817,0.4355178219838192
MAT 5:5,0.2202834025317013,0.5207756376585769,0.7676416492309857,0.35336337972518905,1241.142857142857,0.2678426,0.46551601728661324,0.47932241186780605
MAT 5:6,0.23151202587212602,0.5824293968064014,0.7711410136494097,0.42170791551633874,1648.6666666666667,0.25559247,0.5016975879610689,0.5101157720833938
MAT 5:7,0.2791453133522146,0.40470265868932365,0.7273842599777574,0.2971455235668392,1144.5,0.29662967,0.4270944388965337,0.4448870997923626
MAT 5:8,0.24644823418967568,0.5661767443549044,0.7811324818538756,0.3486284966146728,1091.875,0.36534813,0.48559648925328214,0.48268507694130636
MAT 5:9,0.1856140123821672,0.45547442192051,0.7654034252951846,0.30534573578850005,1211.0,0.40659025,0.42795939884659046,0.4325614858420864
MAT 5:10,0.0849422056706976,0.4625983567541835,0.7787819730365225,0.33694783928605776,781.5,0.33758894,0.41581759368686527,0.4310546338659874
MAT 5:11,0.09413672374645378,0.4549152212896193,0.7761600323574915,0.16825861441737258,411.92857142857144,0.37944657,0.37336764795273425,0.39158880201968777
MAT 5:12,0.06683890172640902,0.3759617163005978,0.729258922395179,0.27933009947740056,856.0666666666667,0.39397573,0.36284740997489656,0.3814432116021557
MAT 5:13,0.04070931435958088,0.2804921908649348,0.5559066648445721,0.22881306971959983,539.0,0.4088816,0.27648030994717193,0.3097715838536144
MAT 5:14,0.11021783590364748,0.49116457096235894,0.744929301690403,0.275023714422128,627.4166666666666,0.23516467,0.4053338557446344,0.4358885096175696
MAT 5:15,0.12697405485297178,0.37281105460832764,0.6455068781769384,0.24720403546467745,974.375,0.37252387,0.34812400577572883,0.37201989410905145
MAT 5:16,0.09743094824773933,0.18799949228523224,0.4580818347112575,0.1656766719851709,717.9375,0.3906441,0.22729723680735,0.2728197448703802
MAT 5:17,0.09386969233551086,0.4160756252422922,0.7255583132129272,0.18648639796873093,625.3333333333334,0.51099527,0.35549750718986534,0.35771255889979986
MAT 5:18,0.11440552681750235,0.3718417851656723,0.7114869436389819,0.24246967094668642,686.0,0.49228308,0.3600509816422107,0.3647168411286139
MAT 5:19,0.06881596141181093,0.39441675470414445,0.6680833675751475,0.24391791936406362,632.9047619047619,0.4892262,0.3438085007637916,0.35329335367184755
MAT 5:20,0.11905983509954646,0.4096752703893488,0.6968632170176137,0.31080505792600827,716.7777777777778,0.5151691,0.38410084510812925,0.37948193746753783
MAT 5:21,0.12442180324892876,0.30512378941682644,0.5460558909810065,0.22405645563803092,1072.8461538461538,0.49093872,0.29991448482119815,0.31656854012013125
MAT 5:22,0.052249000948844854,0.25377918977334585,0.42360969540269555,0.271870418204008,878.9047619047619,0.48427045,0.2503770760822236,0.27697347570816516
MAT 5:23,0.11222911446289832,0.2916433438603434,0.5195413261199848,0.16987205363704944,492.06666666666666,0.52182317,0.27332145952006903,0.29051166900241565
MAT 5:24,0.10964954918044538,0.31319083882854404,0.6299890781806874,0.25466035802425613,610.4,0.28812867,0.3268724560534833,0.3670810434326935
MAT 5:25,0.06186614574442675,0.30679737942996405,0.5522642456064676,0.19561243907406237,872.6190476190476,0.37784326,0.27913505246373016,0.31604020518034254
MAT 5:26,0.19788441937081253,0.3787118197962484,0.8518876734025207,0.1876578959996476,662.9230769230769,0.42788485,0.4040354521423073,0.40883325765675976
MAT 5:27,0.2552996492629038,0.39116696686411395,0.7367401471509748,0.22577398225240572,523.8,0.5197741,0.4022451863825996,0.39547118027352196
MAT 5:28,0.19915372112284183,0.32674146405577026,0.6001191145474568,0.23254279686901555,856.125,0.49630877,0.33963927414877115,0.3489474158043584
MAT 5:29,0.07241527155252425,0.2669903000243051,0.5876126270294559,0.2152782227121046,925.9130434782609,0.5487566,0.2855741053295975,0.2968208564800897
MAT 5:30,0.09627154367034506,0.3236731502362141,0.5804331288158505,0.1934745088719779,615.0869565217391,0.51306534,0.2984630828985969,0.3129429033623871
MAT 5:31,0.09503783478142765,0.2380098932531892,0.5608222663961594,0.2596838932271422,1035.4,0.47872698,0.2883884719144796,0.31014181246438277
