,vref,verse_score
0,GEN 1:1,0.5931549858897882
13,GEN 1:2,0.3808772869420533
48,GEN 1:3,0.6016627626043927
59,GEN 1:4,0.46745643154425476
79,GEN 1:5,0.410172856819939
104,GEN 1:6,0.41982480982658793
130,GEN 1:7,0.23308178115973377
