vref,total_score
MAT 1:1,0.5701002829241072
MAT 1:2,0.5373275921875
MAT 1:3,0.5016871752485795
MAT 1:4,0.563666158203125
MAT 1:5,0.4866651623046875
MAT 1:6,0.5379222508680556
MAT 1:7,0.5797702653459822
MAT 1:8,0.5907563590959821
MAT 1:9,0.5907563590959821
MAT 1:10,0.5668972742745535
MAT 1:11,0.529363228515625
MAT 1:12,0.579130599609375
MAT 1:13,0.5852597073102679
MAT 1:14,0.5907563590959821
MAT 1:15,0.5874057787388393
MAT 1:16,0.4807242568359375
MAT 1:17,0.5426173315805288
MAT 1:18,0.4144817369551225
MAT 1:19,0.39818583501674104
MAT 1:20,0.49011498020717076
MAT 1:21,0.4807294059709822
MAT 1:22,0.4566037416616586
MAT 1:23,0.46560003417968754
MAT 1:24,0.4515751936197916
MAT 1:25,0.4541624186197917
MAT 2:1,0.5407741167279411
MAT 2:2,0.511320778213501
MAT 2:3,0.5757915131392045
MAT 2:4,0.48244462807241584
MAT 2:5,0.4955826722005208
MAT 2:6,0.4392477335083008
MAT 2:7,0.5067308863932292
MAT 2:8,0.40073168058268227
MAT 2:9,0.44648051767578123
MAT 2:10,0.46916724269866944
MAT 2:11,0.5029739594726562
MAT 2:12,0.38129680224609375
MAT 2:13,0.4719409373209635
MAT 2:14,0.4537590361979167
MAT 2:15,0.4773072277099609
MAT 2:16,0.4076812417715567
MAT 2:17,0.5039776604003906
MAT 2:18,0.4466169342013888
MAT 2:19,0.5406810685471755
MAT 2:20,0.4732525167236328
MAT 2:21,0.4607790886230469
MAT 2:22,0.4402946895368303
MAT 2:23,0.44938872985839845
MAT 3:1,0.5160234161931818
MAT 3:2,0.534596339983259
MAT 3:3,0.46843674783325195
MAT 3:4,0.44548362359297894
MAT 3:5,0.5713574685724432
MAT 3:6,0.543248195703125
MAT 3:7,0.49029990248325894
MAT 3:8,0.42468878369140617
MAT 3:9,0.46220242539062495
MAT 3:10,0.45713856067537
MAT 3:11,0.42736411082967124
MAT 3:12,0.5282838696289063
MAT 3:13,0.5408922920673077
MAT 3:14,0.48770903683035716
MAT 3:15,0.4566001587057674
MAT 3:16,0.5232414193847656
MAT 3:17,0.5570630880208333
MAT 4:1,0.56015758671875
MAT 4:2,0.49637575502232145
MAT 4:3,0.5272118140625
MAT 4:4,0.4913093249782986
MAT 4:5,0.5823766382211539
MAT 4:6,0.44784633490306713
MAT 4:7,0.5240377697088068
MAT 4:8,0.5409555250651041
MAT 4:9,0.5411161214488636
MAT 4:10,0.5802822963867188
MAT 4:11,0.5198532417968751
MAT 4:12,0.4996106383599176
MAT 4:13,0.5121990787635217
MAT 4:14,0.4897066661376953
MAT 4:15,0.6165774090909091
MAT 4:16,0.5177054496651786
MAT 4:17,0.5098970896183894
MAT 4:18,0.5095732255394345
MAT 4:19,0.48271134313964836
MAT 4:20,0.45838055803571426
MAT 4:21,0.5533174549239309
MAT 4:22,0.5299342795138888
MAT 4:23,0.517186321863511
MAT 4:24,0.4034134018243408
MAT 4:25,0.599250184795673
MAT 5:1,0.4744453994140625
MAT 5:2,0.5155193705357143
MAT 5:3,0.5428768337673611
MAT 5:4,0.39735810546875
MAT 5:5,0.5224737388392857
MAT 5:6,0.46223082335069443
MAT 5:7,0.442653759765625
MAT 5:8,0.4920321630859375
MAT 5:9,0.5198704663085938
MAT 5:10,0.4880029591796875
MAT 5:11,0.43553802907017297
MAT 5:12,0.4918576184895833
MAT 5:13,0.4023464718073065
MAT 5:14,0.4696524430745443
MAT 5:15,0.45478234840393067
MAT 5:16,0.47378491955566404
MAT 5:17,0.48254549924723306
MAT 5:18,0.49585748021589005
MAT 5:19,0.4309335911690848
MAT 5:20,0.49568354255642366
MAT 5:21,0.3411562640099159
MAT 5:22,0.3636846518670945
MAT 5:23,0.4237751552083333
MAT 5:24,0.4893713856770833
MAT 5:25,0.396925871547154
MAT 5:26,0.4982963264723557
MAT 5:27,0.47533639453125
MAT 5:28,0.4458639650878906
MAT 5:29,0.4065287098017153
MAT 5:30,0.43233474849269704
MAT 5:31,0.3892999388671875
MAT 5:32,0.40691990119628907
MAT 5:33,0.4525207937950721
MAT 5:34,0.4062422886433919
MAT 5:35,0.4919685297154018
MAT 5:36,0.417908348125
MAT 5:37,0.4118441172762784
MAT 5:38,0.4041055354352678
MAT 5:39,0.4356191380208333
MAT 5:40,0.4388553869750976
MAT 5:41,0.47712894804687495
MAT 5:42,0.4423671670898437
MAT 5:43,0.496715087109375
MAT 5:44,0.48111137073863636
MAT 5:45,0.47176588013980253
MAT 5:46,0.44749578673377405
MAT 5:47,0.43418110599459137
MAT 5:48,0.49236134765625
MAT 6:1,0.40855512641834074
MAT 6:2,0.4097417856445313
MAT 6:3,0.42302171484375
MAT 6:4,0.42331359874933416
MAT 6:5,0.43714883040364577
MAT 6:6,0.44990946838378904
MAT 6:7,0.3743815439453125
MAT 6:8,0.4089873773716518
MAT 6:9,0.5120605415482955
MAT 6:10,0.44918648079427087
MAT 6:11,0.33466326835123694
MAT 6:12,0.4931761941964286
MAT 6:13,0.40053641690340913
MAT 6:14,0.43571994921874996
MAT 6:15,0.40075398867187495
MAT 6:16,0.3764886981753395
MAT 6:17,0.5371411710069444
MAT 6:18,0.4141485880301339
MAT 6:19,0.48976183359375003
MAT 6:20,0.5150264719669118
MAT 6:21,0.4856417335069444
MAT 6:22,0.47689701047585226
MAT 6:23,0.4722317398681641
MAT 6:24,0.4989801311306424
MAT 6:25,0.4502336726190476
MAT 6:26,0.4912876928222656
MAT 6:27,0.3062137418682392
